match_id,match_date,event_name,event_type,province,stage,p1_id,p1_name,p2_id,p2_name,p1_score,p2_score,winner,winner_id,category
1595,2025-05-23,"Cape Town League 6th Division",League,"Western Cape",Other,685,"Asemahle Sotashe",173,"Errol Kannemeyer",0,3,"Errol Kannemeyer",173,"Open League"
1594,2025-05-23,"Cape Town League 6th Division",League,"Western Cape",Other,57,"Liqhawe Pepeta",167,"Tyrone Van De Merwe",3,0,"Liqhawe Pepeta",57,"Open League"
1593,2025-05-23,"Cape Town League 6th Division",League,"Western Cape",Other,51,"Scelo Mkhetho",166,"Ivor Arendse",3,2,"Scelo Mkhetho",51,"Open League"
1592,2025-05-23,"Cape Town League 6th Division",League,"Western Cape",Other,57,"Liqhawe Pepeta",173,"Errol Kannemeyer",1,3,"Errol Kannemeyer",173,"Open League"
1591,2025-05-23,"Cape Town League 6th Division",League,"Western Cape",Other,685,"Asemahle Sotashe",166,"Ivor Arendse",0,3,"Ivor Arendse",166,"Open League"
1590,2025-05-23,"Cape Town League 6th Division",League,"Western Cape",Other,51,"Scelo Mkhetho",167,"Tyrone Van De Merwe",3,1,"Scelo Mkhetho",51,"Open League"
1613,2025-05-22,"Cape Town League 7th Division",League,"Western Cape",Other,213,"Oyena Jantjies",682,"Gamza Taliep",1,3,"Gamza Taliep",682,"Open League"
1612,2025-05-22,"Cape Town League 7th Division",League,"Western Cape",Other,210,"Siyanda Ntlali",684,"Faseeq Davids",1,3,"Faseeq Davids",684,"Open League"
1611,2025-05-22,"Cape Town League 7th Division",League,"Western Cape",Other,211,"Marvin Makhubela",681,"Tashreeq Samsodien",3,1,"Marvin Makhubela",211,"Open League"
1610,2025-05-22,"Cape Town League 7th Division",League,"Western Cape",Other,210,"Siyanda Ntlali",682,"Gamza Taliep",2,3,"Gamza Taliep",682,"Open League"
1609,2025-05-22,"Cape Town League 7th Division",League,"Western Cape",Other,213,"Oyena Jantjies",681,"Tashreeq Samsodien",1,3,"Tashreeq Samsodien",681,"Open League"
1608,2025-05-22,"Cape Town League 7th Division",League,"Western Cape",Other,211,"Marvin Makhubela",684,"Faseeq Davids",3,1,"Marvin Makhubela",211,"Open League"
1589,2025-05-22,"Cape Town League 6th Division",League,"Western Cape",Other,207,"Nasr Esau",290,"Fayzal Galant",3,0,"Nasr Esau",207,"Open League"
1588,2025-05-22,"Cape Town League 6th Division",League,"Western Cape",Other,205,"Matthew Meade",307,"Hitendra Makan",3,0,"Matthew Meade",205,"Open League"
1587,2025-05-22,"Cape Town League 6th Division",League,"Western Cape",Other,212,"Siphelele Mkhetho",328,"Milo Katz",1,3,"Milo Katz",328,"Open League"
1586,2025-05-22,"Cape Town League 6th Division",League,"Western Cape",Other,205,"Matthew Meade",290,"Fayzal Galant",3,0,"Matthew Meade",205,"Open League"
1585,2025-05-22,"Cape Town League 6th Division",League,"Western Cape",Other,207,"Nasr Esau",328,"Milo Katz",3,1,"Nasr Esau",207,"Open League"
1584,2025-05-22,"Cape Town League 6th Division",League,"Western Cape",Other,212,"Siphelele Mkhetho",307,"Hitendra Makan",2,3,"Hitendra Makan",307,"Open League"
1583,2025-05-22,"Cape Town League 6th Division",League,"Western Cape",Other,248,"Joshua Benjamin",400,"Rob de Villiers",0,3,"Rob de Villiers",400,"Open League"
1582,2025-05-22,"Cape Town League 6th Division",League,"Western Cape",Other,257,"Timothy Lingeveldt",401,"Wouter de Wit",3,1,"Timothy Lingeveldt",257,"Open League"
1581,2025-05-22,"Cape Town League 6th Division",League,"Western Cape",Other,252,"Gerard Schrieff",405,"William Reizenberg",0,3,"William Reizenberg",405,"Open League"
1580,2025-05-22,"Cape Town League 6th Division",League,"Western Cape",Other,257,"Timothy Lingeveldt",400,"Rob de Villiers",3,2,"Timothy Lingeveldt",257,"Open League"
1579,2025-05-22,"Cape Town League 6th Division",League,"Western Cape",Other,248,"Joshua Benjamin",405,"William Reizenberg",0,3,"William Reizenberg",405,"Open League"
1578,2025-05-22,"Cape Town League 6th Division",League,"Western Cape",Other,252,"Gerard Schrieff",401,"Wouter de Wit",1,3,"Wouter de Wit",401,"Open League"
1511,2025-05-22,"Cape Town League 3rd Division",League,"Western Cape",Other,258,"Rashaad Safodien",227,"Yunus Moyce",3,2,"Rashaad Safodien",258,"Open League"
1510,2025-05-22,"Cape Town League 3rd Division",League,"Western Cape",Other,244,"Musfiquh Kalam",216,"Daylin May",3,1,"Musfiquh Kalam",244,"Open League"
1509,2025-05-22,"Cape Town League 3rd Division",League,"Western Cape",Other,246,"Tamika Van As",229,"Kyle Sebo",3,0,"Tamika Van As",246,"Open League"
1508,2025-05-22,"Cape Town League 3rd Division",League,"Western Cape",Other,244,"Musfiquh Kalam",227,"Yunus Moyce",3,0,"Musfiquh Kalam",244,"Open League"
1507,2025-05-22,"Cape Town League 3rd Division",League,"Western Cape",Other,258,"Rashaad Safodien",229,"Kyle Sebo",3,0,"Rashaad Safodien",258,"Open League"
1506,2025-05-22,"Cape Town League 3rd Division",League,"Western Cape",Other,246,"Tamika Van As",216,"Daylin May",3,1,"Tamika Van As",246,"Open League"
1451,2025-05-22,"Cape Town League 1st Division",League,"Western Cape",Other,283,"Angelo Isaacs",234,"Rhiyaan Cupido",3,0,"Angelo Isaacs",283,"Open League"
1450,2025-05-22,"Cape Town League 1st Division",League,"Western Cape",Other,284,"Anton Titus",237,"Brandon De Jager",3,1,"Anton Titus",284,"Open League"
1449,2025-05-22,"Cape Town League 1st Division",League,"Western Cape",Other,294,"Mahdi Adams",222,"Thabiet Adams",3,2,"Mahdi Adams",294,"Open League"
1448,2025-05-22,"Cape Town League 1st Division",League,"Western Cape",Other,284,"Anton Titus",234,"Rhiyaan Cupido",3,0,"Anton Titus",284,"Open League"
1447,2025-05-22,"Cape Town League 1st Division",League,"Western Cape",Other,283,"Angelo Isaacs",222,"Thabiet Adams",3,1,"Angelo Isaacs",283,"Open League"
1446,2025-05-22,"Cape Town League 1st Division",League,"Western Cape",Other,294,"Mahdi Adams",237,"Brandon De Jager",3,0,"Mahdi Adams",294,"Open League"
1445,2025-05-22,"Cape Town League 1st Division",League,"Western Cape",Other,255,"Matthew Lingeveldt",302,"Tiago Faria",3,2,"Matthew Lingeveldt",255,"Open League"
1444,2025-05-22,"Cape Town League 1st Division",League,"Western Cape",Other,695,"Caitlin Lingeveldt",300,"Tashreeq Baba",3,1,"Caitlin Lingeveldt",695,"Open League"
1443,2025-05-22,"Cape Town League 1st Division",League,"Western Cape",Other,262,"Tayla Bailey",286,"Dirk Coetzee",0,3,"Dirk Coetzee",286,"Open League"
1442,2025-05-22,"Cape Town League 1st Division",League,"Western Cape",Other,695,"Caitlin Lingeveldt",302,"Tiago Faria",3,1,"Caitlin Lingeveldt",695,"Open League"
1441,2025-05-22,"Cape Town League 1st Division",League,"Western Cape",Other,255,"Matthew Lingeveldt",286,"Dirk Coetzee",3,0,"Matthew Lingeveldt",255,"Open League"
1440,2025-05-22,"Cape Town League 1st Division",League,"Western Cape",Other,262,"Tayla Bailey",300,"Tashreeq Baba",0,3,"Tashreeq Baba",300,"Open League"
1607,2025-05-21,"Cape Town League 7th Division",League,"Western Cape",Other,116,"Andries Steenkamp",780,"Lateef Somad",1,3,"Lateef Somad",780,"Open League"
1606,2025-05-21,"Cape Town League 7th Division",League,"Western Cape",Other,79,"Logan Willemse",318,"Martin Bacchus",3,0,"Logan Willemse",79,"Open League"
1605,2025-05-21,"Cape Town League 7th Division",League,"Western Cape",Other,118,"Deon Swartz",781,"Dave Sanusi",3,2,"Deon Swartz",118,"Open League"
1604,2025-05-21,"Cape Town League 7th Division",League,"Western Cape",Other,79,"Logan Willemse",780,"Lateef Somad",0,3,"Lateef Somad",780,"Open League"
1603,2025-05-21,"Cape Town League 7th Division",League,"Western Cape",Other,116,"Andries Steenkamp",781,"Dave Sanusi",3,1,"Andries Steenkamp",116,"Open League"
1602,2025-05-21,"Cape Town League 7th Division",League,"Western Cape",Other,118,"Deon Swartz",318,"Martin Bacchus",3,2,"Deon Swartz",118,"Open League"
1577,2025-05-21,"Cape Town League 6th Division",League,"Western Cape",Other,334,"Kian Jansen",311,"Brandon Orderson",0,3,"Brandon Orderson",311,"Open League"
1576,2025-05-21,"Cape Town League 6th Division",League,"Western Cape",Other,331,"Atlaaf Solomons",309,"Jason Albertyn",2,3,"Jason Albertyn",309,"Open League"
